"OBP","SLG","BA","WP","RD","Playoffs","Champion"
0.328,0.418,0.259,0.5,46,0,0
0.32,0.389,0.247,0.580246913580247,100,1,0
0.311,0.417,0.247,0.574074074074074,7,1,0
0.315,0.415,0.26,0.425925925925926,-72,0,0
0.302,0.378,0.24,0.376543209876543,-146,0,0
0.318,0.422,0.255,0.524691358024691,72,0,0
0.315,0.411,0.251,0.598765432098765,81,1,0
0.324,0.381,0.251,0.419753086419753,-178,0,0
0.33,0.436,0.274,0.395061728395062,-132,0,0
0.335,0.422,0.268,0.54320987654321,56,1,0
0.302,0.371,0.236,0.339506172839506,-211,0,0
0.317,0.4,0.265,0.444444444444444,-70,0,0
0.332,0.433,0.274,0.549382716049383,68,0,0
0.317,0.374,0.252,0.530864197530864,40,0,0
0.308,0.382,0.244,0.425925925925926,-115,0,0
0.325,0.437,0.259,0.512345679012346,43,0,0
0.325,0.39,0.26,0.407407407407407,-131,0,0
0.316,0.386,0.249,0.45679012345679,-59,0,0
0.337,0.453,0.265,0.58641975308642,136,1,0
0.31,0.404,0.238,0.580246913580247,99,1,0
0.317,0.4,0.255,0.5,4,0,0
0.304,0.395,0.243,0.487654320987654,-23,0,0
0.319,0.38,0.247,0.469135802469136,-59,0,0
0.296,0.369,0.234,0.462962962962963,-32,0,0
0.327,0.397,0.269,0.580246913580247,69,1,0
0.338,0.421,0.271,0.54320987654321,117,1,0
0.317,0.394,0.24,0.555555555555556,120,0,0
0.334,0.446,0.273,0.574074074074074,101,1,0
0.309,0.407,0.245,0.450617283950617,-68,0,0
0.322,0.428,0.261,0.604938271604938,137,1,1
0.322,0.413,0.25,0.580246913580247,69,1,0
0.308,0.387,0.243,0.549382716049383,36,0,0
0.316,0.413,0.257,0.425925925925926,-152,0,0
0.349,0.461,0.28,0.555555555555556,138,0,0
0.314,0.401,0.256,0.438271604938272,-102,0,0
0.319,0.388,0.252,0.487654320987654,-52,0,0
0.326,0.408,0.256,0.487654320987654,15,0,0
0.317,0.396,0.25,0.493827160493827,-56,0,0
0.329,0.41,0.258,0.450617283950617,-39,0,0
0.34,0.434,0.277,0.58641975308642,76,1,0
0.318,0.388,0.247,0.444444444444444,-77,0,0
0.311,0.374,0.258,0.345679012345679,-181,0,0
0.329,0.415,0.275,0.438271604938272,-32,0,0
0.313,0.402,0.253,0.530864197530864,34,0,0
0.322,0.375,0.257,0.509316770186335,32,0,0
0.325,0.425,0.261,0.592592592592593,83,1,0
0.306,0.36,0.247,0.388888888888889,-185,0,0
0.335,0.391,0.264,0.475308641975309,-24,0,0
0.343,0.444,0.263,0.598765432098765,210,1,0
0.311,0.369,0.244,0.45679012345679,-34,0,0
0.323,0.395,0.253,0.62962962962963,184,1,1
0.309,0.368,0.244,0.444444444444444,-102,0,0
0.305,0.349,0.237,0.438271604938272,-18,0,0
0.292,0.348,0.233,0.41358024691358,-119,0,0
0.303,0.368,0.242,0.530864197530864,-8,0,0
0.341,0.425,0.273,0.555555555555556,70,1,0
0.322,0.402,0.244,0.561728395061728,93,1,0
0.34,0.46,0.283,0.592592592592593,178,1,0
0.317,0.413,0.249,0.5,-18,0,0
0.309,0.383,0.242,0.496894409937888,-19,0,0
0.325,0.416,0.25,0.401234567901235,-123,0,0
0.339,0.401,0.258,0.561728395061728,109,1,0
0.316,0.386,0.259,0.407407407407407,-172,0,0
0.339,0.451,0.268,0.549382716049383,74,0,0
0.32,0.401,0.257,0.462962962962963,-82,0,0
0.332,0.42,0.268,0.54320987654321,48,0,0
0.338,0.436,0.272,0.561728395061728,105,1,0
0.322,0.378,0.248,0.425925925925926,-106,0,0
0.336,0.425,0.263,0.512345679012346,53,0,0
0.335,0.415,0.268,0.5,8,0,0
0.321,0.403,0.254,0.493827160493827,2,0,0
0.303,0.362,0.247,0.469135802469136,-118,0,0
0.331,0.399,0.274,0.41358024691358,-169,0,0
0.311,0.39,0.248,0.493827160493827,-21,0,0
0.322,0.379,0.252,0.493827160493827,-25,0,0
0.335,0.424,0.262,0.475308641975309,-54,0,0
0.341,0.422,0.273,0.580246913580247,110,1,0
0.314,0.383,0.249,0.487654320987654,4,0,0
0.35,0.436,0.267,0.58641975308642,166,1,0
0.324,0.378,0.256,0.5,37,0,0
0.332,0.413,0.26,0.598765432098765,132,1,1
0.304,0.373,0.242,0.351851851851852,-279,0,0
0.317,0.371,0.246,0.555555555555556,84,0,0
0.298,0.339,0.236,0.376543209876543,-185,0,0
0.321,0.408,0.257,0.567901234567901,114,1,0
0.332,0.402,0.263,0.530864197530864,95,0,0
0.333,0.403,0.247,0.592592592592593,153,1,0
0.338,0.419,0.276,0.555555555555556,100,1,0
0.312,0.454,0.248,0.524691358024691,27,0,0
0.318,0.39,0.25,0.425925925925926,-87,0,0
0.324,0.418,0.253,0.432098765432099,-62,0,0
0.339,0.405,0.263,0.530864197530864,94,0,0
0.332,0.415,0.268,0.395061728395062,-135,0,0
0.352,0.454,0.27,0.58641975308642,136,1,0
0.332,0.407,0.255,0.515527950310559,35,0,0
0.329,0.411,0.258,0.487654320987654,-8,0,0
0.318,0.394,0.247,0.481481481481481,-50,0,0
0.339,0.417,0.264,0.401234567901235,-92,0,0
0.343,0.441,0.261,0.567901234567901,89,1,0
0.331,0.416,0.26,0.52760736196319,-2,0,0
0.34,0.416,0.268,0.537037037037037,6,0,0
0.319,0.4,0.26,0.45679012345679,-127,0,0
0.318,0.405,0.259,0.401234567901235,-156,0,0
0.35,0.441,0.285,0.598765432098765,122,1,0
0.346,0.412,0.27,0.58641975308642,169,1,0
0.341,0.426,0.263,0.493827160493827,-33,0,0
0.345,0.429,0.274,0.533742331288344,52,1,0
0.335,0.394,0.27,0.432098765432099,-86,0,0
0.362,0.478,0.283,0.635802469135803,162,1,1
0.328,0.397,0.262,0.462962962962963,-2,0,0
0.334,0.447,0.258,0.574074074074074,111,1,0
0.318,0.387,0.252,0.385093167701863,-132,0,0
0.321,0.381,0.242,0.462962962962963,-131,0,0
0.314,0.402,0.258,0.524691358024691,-52,0,0
0.309,0.389,0.257,0.54320987654321,46,0,0
0.332,0.415,0.263,0.561728395061728,90,1,0
0.343,0.439,0.263,0.518518518518518,49,0,0
0.32,0.445,0.26,0.537037037037037,44,0,0
0.333,0.44,0.266,0.462962962962963,27,0,0
0.337,0.406,0.258,0.364197530864198,-164,0,0
0.327,0.415,0.251,0.506172839506173,14,0,0
0.345,0.408,0.27,0.444444444444444,-25,0,0
0.333,0.429,0.267,0.422360248447205,-87,0,0
0.358,0.447,0.28,0.58641975308642,151,1,0
0.354,0.443,0.278,0.602484472049689,184,1,0
0.332,0.448,0.263,0.54601226993865,82,1,0
0.321,0.408,0.247,0.45679012345679,-96,0,0
0.339,0.424,0.262,0.5,44,0,0
0.336,0.415,0.263,0.45679012345679,-75,0,0
0.34,0.444,0.271,0.45679012345679,-36,0,0
0.326,0.433,0.254,0.521739130434783,3,0,0
0.323,0.415,0.263,0.53416149068323,-31,0,0
0.32,0.397,0.269,0.462962962962963,-90,0,0
0.33,0.413,0.268,0.617283950617284,68,1,1
0.333,0.399,0.264,0.518518518518518,52,1,0
0.325,0.431,0.253,0.555555555555556,61,1,0
0.34,0.408,0.279,0.539877300613497,84,0,0
0.34,0.42,0.266,0.549382716049383,84,0,0
0.342,0.427,0.271,0.549382716049383,62,0,0
0.318,0.369,0.242,0.46583850931677,-44,0,0
0.332,0.438,0.255,0.567901234567901,119,1,0
0.32,0.403,0.258,0.41358024691358,-149,0,0
0.317,0.39,0.25,0.388888888888889,-127,0,0
0.318,0.389,0.265,0.376543209876543,-140,0,0
0.321,0.382,0.262,0.444444444444444,-119,0,0
0.35,0.433,0.281,0.530864197530864,54,0,0
0.34,0.422,0.26,0.598765432098765,103,1,0
0.354,0.462,0.283,0.487654320987654,-66,0,0
0.331,0.399,0.264,0.530864197530864,104,0,0
0.323,0.373,0.251,0.366459627329193,-184,0,0
0.321,0.413,0.25,0.555555555555556,-20,1,0
0.339,0.435,0.275,0.518518518518518,77,0,0
0.333,0.412,0.272,0.425925925925926,-112,0,0
0.362,0.444,0.279,0.592592592592593,210,1,1
0.333,0.422,0.271,0.524691358024691,62,1,0
0.318,0.404,0.246,0.444444444444444,-146,0,0
0.335,0.436,0.267,0.444444444444444,-70,0,0
0.343,0.428,0.268,0.592592592592593,107,1,1
0.354,0.437,0.28,0.552147239263804,102,1,0
0.345,0.458,0.287,0.54320987654321,90,0,0
0.336,0.448,0.267,0.438271604938272,-101,0,0
0.33,0.412,0.26,0.450617283950617,-90,0,0
0.322,0.388,0.261,0.425925925925926,-72,0,0
0.345,0.417,0.284,0.580246913580247,91,1,0
0.337,0.406,0.275,0.506172839506173,8,0,0
0.329,0.456,0.262,0.512345679012346,25,0,0
0.33,0.391,0.264,0.487654320987654,-7,0,0
0.342,0.432,0.275,0.54320987654321,54,0,0
0.366,0.463,0.29,0.580246913580247,191,1,0
0.338,0.407,0.256,0.469135802469136,-17,0,0
0.354,0.458,0.274,0.549382716049383,71,1,0
0.325,0.411,0.263,0.419753086419753,-122,0,0
0.322,0.411,0.251,0.54601226993865,75,0,0
0.337,0.425,0.287,0.54320987654321,-19,0,0
0.322,0.387,0.254,0.438271604938272,-37,0,0
0.337,0.405,0.274,0.481481481481481,-104,0,0
0.336,0.433,0.268,0.407407407407407,-162,0,0
0.328,0.426,0.263,0.462962962962963,-28,0,0
0.327,0.419,0.259,0.512345679012346,54,0,0
0.325,0.39,0.256,0.450617283950617,-110,0,0
0.331,0.424,0.267,0.469135802469136,-15,0,0
0.337,0.455,0.27,0.487654320987654,44,0,0
0.339,0.424,0.277,0.432098765432099,-131,0,0
0.351,0.435,0.269,0.530864197530864,-5,0,0
0.319,0.422,0.268,0.407407407407407,-118,0,0
0.342,0.464,0.28,0.555555555555556,74,0,0
0.336,0.432,0.257,0.493827160493827,-52,0,0
0.349,0.457,0.28,0.481481481481481,88,0,0
0.341,0.433,0.27,0.469135802469136,1,0,0
0.329,0.449,0.274,0.58641975308642,147,1,0
0.331,0.435,0.264,0.481481481481481,-14,0,0
0.332,0.409,0.255,0.506172839506173,16,0,0
0.332,0.411,0.271,0.382716049382716,-214,0,0
0.334,0.425,0.274,0.549382716049383,34,0,0
0.348,0.432,0.276,0.54320987654321,69,1,0
0.327,0.42,0.258,0.462962962962963,-103,0,0
0.347,0.425,0.287,0.592592592592593,118,1,0
0.334,0.445,0.264,0.598765432098765,103,1,1
0.363,0.461,0.285,0.598765432098765,163,1,1
0.34,0.412,0.26,0.574074074074074,44,1,0
0.347,0.447,0.267,0.524691358024691,53,0,0
0.327,0.397,0.263,0.41358024691358,-106,0,0
0.332,0.416,0.263,0.54320987654321,52,1,0
0.325,0.424,0.272,0.481481481481481,-36,0,0
0.324,0.422,0.259,0.472049689440994,-44,0,0
0.337,0.431,0.269,0.515527950310559,19,1,0
0.314,0.42,0.255,0.376543209876543,-167,0,0
0.338,0.446,0.278,0.493827160493827,51,0,0
0.348,0.463,0.284,0.537037037037037,55,0,0
0.338,0.418,0.262,0.438271604938272,-126,0,0
0.332,0.421,0.256,0.475308641975309,-160,0,0
0.333,0.435,0.265,0.555555555555556,95,1,0
0.327,0.434,0.269,0.45679012345679,-71,0,0
0.357,0.454,0.281,0.58641975308642,105,1,0
0.324,0.44,0.27,0.487654320987654,-11,0,0
0.322,0.425,0.262,0.611111111111111,96,1,0
0.339,0.446,0.261,0.447852760736196,-69,0,0
0.334,0.453,0.271,0.574074074074074,148,0,0
0.333,0.411,0.267,0.41358024691358,-122,0,0
0.321,0.428,0.272,0.438271604938272,-64,0,0
0.339,0.409,0.272,0.512345679012346,-15,0,0
0.322,0.408,0.256,0.54601226993865,84,1,0
0.32,0.396,0.263,0.345679012345679,-234,0,0
0.325,0.409,0.27,0.58641975308642,118,1,0
0.326,0.395,0.253,0.438271604938272,-70,0,0
0.331,0.423,0.259,0.5,29,0,0
0.323,0.391,0.259,0.512345679012346,26,0,0
0.322,0.416,0.258,0.512345679012346,74,0,0
0.355,0.45,0.276,0.58641975308642,97,1,0
0.33,0.407,0.262,0.54320987654321,114,0,0
0.348,0.423,0.27,0.54320987654321,81,0,0
0.322,0.4,0.259,0.41358024691358,-89,0,0
0.333,0.391,0.257,0.506172839506173,-42,1,0
0.317,0.391,0.256,0.425925925925926,-52,0,0
0.319,0.396,0.261,0.462962962962963,-96,0,0
0.339,0.423,0.27,0.617283950617284,171,1,1
0.329,0.425,0.274,0.41358024691358,-186,0,0
0.329,0.468,0.267,0.487654320987654,7,0,0
0.331,0.407,0.265,0.493827160493827,70,0,0
0.322,0.386,0.252,0.5,-34,0,0
0.341,0.429,0.282,0.567901234567901,102,1,0
0.31,0.393,0.253,0.314814814814815,-284,0,0
0.343,0.434,0.27,0.592592592592593,135,1,0
0.345,0.432,0.281,0.481481481481481,12,0,0
0.36,0.472,0.282,0.604938271604938,181,1,0
0.328,0.458,0.268,0.549382716049383,124,0,0
0.333,0.457,0.268,0.512345679012346,34,0,0
0.331,0.418,0.25,0.469135802469136,-157,0,0
0.351,0.444,0.276,0.493827160493827,1,0,0
0.345,0.455,0.275,0.419753086419753,-90,0,0
0.337,0.449,0.272,0.444444444444444,-17,0,0
0.329,0.406,0.264,0.512345679012346,18,0,0
0.342,0.436,0.267,0.567901234567901,105,1,0
0.322,0.397,0.259,0.358024691358025,-185,0,0
0.332,0.423,0.262,0.574074074074074,77,1,0
0.321,0.387,0.248,0.416149068322981,-123,0,0
0.332,0.431,0.266,0.567901234567901,65,1,0
0.313,0.392,0.249,0.41358024691358,-134,0,0
0.317,0.409,0.249,0.438271604938272,-47,0,0
0.353,0.458,0.268,0.623456790123457,89,1,0
0.343,0.433,0.27,0.561728395061728,51,0,0
0.345,0.443,0.267,0.530864197530864,59,0,0
0.321,0.401,0.26,0.447204968944099,-64,0,0
0.342,0.414,0.273,0.537037037037037,63,0,0
0.331,0.396,0.27,0.388888888888889,-125,0,0
0.357,0.438,0.27,0.561728395061728,80,0,0
0.344,0.46,0.278,0.648148148148148,196,1,1
0.32,0.405,0.258,0.434782608695652,-128,0,0
0.329,0.457,0.266,0.549382716049383,66,0,0
0.328,0.403,0.26,0.416149068322981,-104,0,0
0.33,0.413,0.268,0.475308641975309,-7,0,0
0.33,0.417,0.263,0.518518518518518,32,0,0
0.349,0.475,0.284,0.623456790123457,167,1,1
0.323,0.405,0.268,0.43558282208589,-77,0,0
0.36,0.491,0.289,0.58641975308642,152,1,0
0.323,0.416,0.259,0.54320987654321,41,1,0
0.331,0.446,0.263,0.530864197530864,76,0,0
0.318,0.395,0.245,0.425925925925926,-192,0,0
0.316,0.401,0.254,0.419753086419753,-79,0,0
0.344,0.445,0.267,0.45679012345679,-39,0,0
0.3,0.375,0.24,0.265432098765432,-337,0,0
0.333,0.421,0.266,0.561728395061728,59,1,0
0.336,0.431,0.263,0.537037037037037,128,0,0
0.336,0.427,0.274,0.512345679012346,-31,0,0
0.303,0.368,0.243,0.524691358024691,18,0,0
0.329,0.419,0.256,0.419753086419753,-159,0,0
0.341,0.431,0.277,0.555555555555556,43,1,0
0.326,0.401,0.258,0.512345679012346,-5,0,0
0.314,0.374,0.247,0.409937888198758,-112,0,0
0.356,0.453,0.271,0.619631901840491,161,1,1
0.327,0.417,0.254,0.592592592592593,125,1,0
0.343,0.419,0.261,0.530864197530864,94,0,0
0.338,0.42,0.267,0.462962962962963,-48,0,0
0.333,0.388,0.261,0.395061728395062,-153,0,0
0.344,0.41,0.271,0.574074074074074,158,0,0
0.338,0.425,0.264,0.62111801242236,117,1,0
0.35,0.454,0.279,0.524691358024691,80,0,0
0.32,0.404,0.265,0.388888888888889,-137,0,0
0.33,0.454,0.266,0.438271604938272,-143,0,0
0.349,0.455,0.279,0.530864197530864,68,0,0
0.341,0.433,0.282,0.611111111111111,207,1,0
0.346,0.423,0.267,0.604938271604938,145,1,0
0.331,0.409,0.26,0.627329192546584,143,1,0
0.309,0.403,0.246,0.41358024691358,-106,0,0
0.345,0.444,0.277,0.574074074074074,194,0,0
0.321,0.413,0.246,0.41358024691358,-53,0,0
0.338,0.449,0.268,0.5,58,0,0
0.33,0.408,0.253,0.481481481481481,-65,0,0
0.321,0.412,0.249,0.45679012345679,-98,0,0
0.337,0.423,0.274,0.450617283950617,-120,0,0
0.3,0.379,0.248,0.341614906832298,-289,0,0
0.337,0.403,0.261,0.487654320987654,-64,0,0
0.338,0.417,0.262,0.518518518518518,54,0,0
0.323,0.398,0.256,0.382716049382716,-154,0,0
0.32,0.409,0.264,0.567901234567901,70,0,0
0.32,0.39,0.253,0.345679012345679,-194,0,0
0.332,0.437,0.272,0.583850931677019,56,1,0
0.334,0.418,0.261,0.512345679012346,17,0,0
0.322,0.395,0.256,0.46583850931677,-13,0,0
0.354,0.455,0.275,0.639751552795031,200,1,1
0.339,0.432,0.261,0.635802469135803,146,1,1
0.339,0.422,0.259,0.496894409937888,-14,0,0
0.319,0.381,0.244,0.447204968944099,-89,0,0
0.321,0.381,0.253,0.407407407407407,-153,0,0
0.35,0.419,0.275,0.574074074074074,115,0,0
0.344,0.442,0.267,0.58641975308642,167,1,0
0.338,0.425,0.268,0.598765432098765,139,1,0
0.314,0.39,0.253,0.341614906832298,-245,0,0
0.338,0.455,0.269,0.444444444444444,-39,0,0
0.327,0.43,0.261,0.481481481481481,-15,0,0
0.327,0.405,0.261,0.462962962962963,-39,0,0
0.341,0.442,0.267,0.567901234567901,141,1,0
0.324,0.412,0.26,0.54320987654321,86,1,0
0.319,0.38,0.248,0.388888888888889,-142,0,0
0.334,0.439,0.266,0.509316770186335,27,0,0
0.336,0.43,0.261,0.54320987654321,76,0,0
0.334,0.451,0.268,0.512345679012346,3,0,0
0.324,0.419,0.262,0.407407407407407,-115,0,0
0.35,0.458,0.278,0.561728395061728,76,1,0
0.354,0.483,0.292,0.450617283950617,17,0,0
0.32,0.409,0.26,0.407407407407407,-152,0,0
0.326,0.423,0.264,0.469135802469136,-2,0,0
0.347,0.451,0.271,0.574074074074074,78,1,0
0.318,0.409,0.266,0.401234567901235,-129,0,0
0.323,0.425,0.255,0.530864197530864,14,0,0
0.319,0.426,0.251,0.419753086419753,-66,0,0
0.337,0.433,0.272,0.524691358024691,5,0,0
0.319,0.396,0.253,0.419753086419753,-142,0,0
0.323,0.387,0.249,0.506172839506173,-71,0,0
0.334,0.435,0.267,0.590062111801242,91,1,0
0.345,0.439,0.264,0.62962962962963,239,1,0
0.329,0.414,0.26,0.530864197530864,27,0,0
0.313,0.393,0.247,0.382716049382716,-201,0,0
0.336,0.399,0.252,0.487654320987654,-23,0,0
0.36,0.445,0.288,0.716049382716049,300,1,1
0.342,0.46,0.266,0.555555555555556,51,0,0
0.339,0.441,0.27,0.574074074074074,130,1,0
0.32,0.388,0.258,0.382716049382716,-215,0,0
0.344,0.471,0.275,0.450617283950617,-78,0,0
0.325,0.43,0.263,0.493827160493827,14,0,0
0.352,0.472,0.28,0.506172839506173,-5,0,0
0.333,0.429,0.265,0.524691358024691,38,0,0
0.346,0.429,0.271,0.58641975308642,96,1,0
0.341,0.435,0.272,0.45679012345679,-119,0,0
0.341,0.423,0.267,0.524691358024691,47,0,0
0.335,0.411,0.256,0.401234567901235,-140,0,0
0.356,0.47,0.286,0.58641975308642,139,1,0
0.343,0.447,0.274,0.521472392638037,60,0,0
0.367,0.47,0.288,0.555555555555556,134,0,0
0.362,0.455,0.294,0.506172839506173,71,0,0
0.343,0.438,0.275,0.487654320987654,-4,0,0
0.331,0.409,0.262,0.490683229813665,-66,0,0
0.361,0.477,0.278,0.444444444444444,-6,0,0
0.348,0.425,0.288,0.475308641975309,-51,0,0
0.341,0.431,0.257,0.530864197530864,69,0,0
0.325,0.403,0.246,0.447852760736196,-86,0,0
0.337,0.407,0.27,0.425925925925926,-132,0,0
0.326,0.432,0.266,0.41358024691358,-164,0,0
0.346,0.43,0.263,0.580246913580247,69,1,0
0.354,0.45,0.277,0.540372670807453,57,1,0
0.36,0.458,0.27,0.565217391304348,134,1,0
0.329,0.4,0.251,0.401234567901235,-122,0,0
0.339,0.424,0.267,0.425925925925926,-95,0,0
0.33,0.402,0.254,0.469135802469136,-63,0,0
0.361,0.442,0.269,0.561728395061728,127,1,0
0.362,0.472,0.278,0.598765432098765,178,1,1
0.356,0.455,0.27,0.58641975308642,116,1,0
0.329,0.399,0.257,0.428571428571429,-109,0,0
0.352,0.446,0.283,0.438271604938272,-126,0,0
0.341,0.469,0.275,0.512345679012346,-47,0,0
0.322,0.395,0.256,0.432098765432099,-115,0,0
0.347,0.459,0.277,0.617283950617284,232,1,0
0.341,0.436,0.266,0.635802469135803,179,1,1
0.353,0.447,0.279,0.481481481481481,36,0,0
0.35,0.448,0.278,0.580246913580247,118,1,0
0.329,0.42,0.257,0.41358024691358,-173,0,0
0.337,0.429,0.277,0.462962962962963,-93,0,0
0.341,0.451,0.272,0.588957055214724,154,0,0
0.373,0.467,0.289,0.598765432098765,149,1,0
0.348,0.472,0.288,0.444444444444444,-122,0,0
0.326,0.443,0.261,0.428571428571429,-135,0,0
0.325,0.395,0.263,0.395061728395062,-161,0,0
0.355,0.42,0.267,0.598765432098765,148,1,0
0.348,0.433,0.282,0.397515527950311,-65,0,0
0.339,0.42,0.266,0.475308641975309,6,0,0
0.353,0.426,0.273,0.459627329192547,-71,0,0
0.328,0.384,0.264,0.391304347826087,-159,0,0
